Qnum;Question;Gap1;Indikator1;Gap2;Indikator2
3.5;In meiner Freizeit verbringe ich genügend Zeit mit Aktivitäten wie Wandern, Spazieren, Velofahren, Bücher lesen, Fernsehen, Ausruhen und/oder ähnlichem.;Unzufriedenheit mit der Selbstsorge;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
3.6;In meiner Freizeit verbringe ich genügend Zeit mit gemeinschaftlichen Aktivitäten mit Freunden oder Verwandten oder in Vereinen, Feuerwehr, Sportclubs und/oder ähnlichem.;Unzufriedenheit mit der Selbstsorge;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
4.1;Ich bin zufrieden mit meinen aktuellen Möglichkeiten zur Karriereentwicklung. (Mein Arbeitgeber unterstützt mich darin mich weiterzuentwickeln oder weiterzubilden und meine familiäre Situation lässt dies zu.);Unzufriedenheit mit der Karriereentwicklung;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
5.1;In meiner Freizeit kann ich gut von meinen beruflichen Pflichten abschalten.;Belastung: Schwierigkeiten abzuschalten;Trifft eher nicht zu,Trifft überhaupt nicht zu;;
5.2;Ich fühle mich oft belastet, weil ich in meiner Freizeit viele Besorgungen, Termine, etc. erledigen muss, das aber nicht in der gegebenen Zeit unterbringen kann.;Belastung: Stress im Privaten;Trifft voll und ganz zu,Trifft eher zu;;
5.3;Ich fühle mich oft belastet, weil ich wichtige Arbeiten in der Firma nur mit Mühe rechtzeitig erledigen kann.;Belastung: Stress bei der Arbeit;Trifft voll und ganz zu,Trifft eher zu;;
5.4;Ich habe oft ein schlechtes Gewissen, weil ich aufgrund meiner familiären Verpflichtungen die Erwartungen meines Arbeitgebers nicht erfüllen kann.;Belastung: Stress bei der Arbeit;Trifft voll und ganz zu,Trifft eher zu;;
5.5;Ich habe oft ein schlechtes Gewissen, weil ich aufgrund meiner Verpflichtungen bei der Arbeit meine Erwartungen bezüglich Haushalt und Kinderbetreuung nicht erfüllen kann.;Belastung: Stress im Privaten;Trifft voll und ganz zu,Trifft eher zu;;
5.6;Ich fühle mich oft belastet, weil ich während der Arbeit oder in der Freizeit verschiedene Dinge gleichzeitig erledigen muss. ;Belastung: Viele zeitgleiche Aufgaben (privat und/oder beruflich);Trifft voll und ganz zu,Trifft eher zu;;
5.7;Ich fühle mich oft belastet, weil ich während der Arbeit häufig privaten Verpflichtungen nachkommen muss.;Belastung: Häufiges Hin- und Herschalten zwischen Privatem und Beruflichem (Switchen);Trifft voll und ganz zu,Trifft eher zu;;
5.8;Ich fühle mich oft belastet, weil ich Zuhause häufig beruflichen Verpflichtungen nachkommen muss.  ;Belastung: Keine klar festgelegeten Arbeitszeiten (Flexibilisierung);Trifft voll und ganz zu,Trifft eher zu;;
5.9;Ich fühle mich während des Home Office belastet, weil oftmals private Aufgaben dazwischen kommen.;Belastung: Störungen beim Arbeiten im Home Office;Trifft voll und ganz zu,Trifft eher zu;;
5.10;Ich fühle mich oft belastet, weil die zeitliche Beanspruchung von Arbeit und- und familiären Verplfichtungen insgesamt zu hoch ist.;Belastung: Hohe zeitliche Beanspruchung;Trifft voll und ganz zu,Trifft eher zu;;
5.11;Ich fühle mich oft belastet, weil die finanzielle Situation in meinem/unserem Haushalt angespannt ist.;Belastung: Finanzielle Situation;Trifft voll und ganz zu,Trifft eher zu;;
5.12;Ich fühle mit oft belastet, weil ich gesundheitlich angeschlagen bin.;Belastung: Gesundheitliche Situation;Trifft voll und ganz zu,Trifft eher zu;;
6.1;Ich fühle mich durch meine Arbeit frustriert und habe das Interesse an meiner Arbeit verloren.;Belastung: Psychische oder emotionale Belastung;Trifft voll und ganz zu,Trifft eher zu;;
6.2;Ich habe das Gefühl, manche KundenInnen/GeschäftspartnerInnen/KollegInnen unpersönlich zu behandeln und es interessiert mich nicht wirklich, was mit manchen meiner KundenInnen/GeschäftspartnerInnen/KollegInnen geschieht.;Belastung: Psychische oder emotionale Situation;Trifft voll und ganz zu,Trifft eher zu;;
6.3;Ich fühle mich machtlos, meine Arbeitssituation zu verändern.;Belastung: Psychische oder emotionale Belastung;Trifft voll und ganz zu,Trifft eher zu;;
