Qnum;Question;Answer1;Answer2;Answer3;Answer4;Answer5
3.5;In meiner Freizeit verbringe ich genügend Zeit mit Aktivitäten wie Wandern, Spazieren, Velofahren, Lesen, Fernsehen, Ausruhen und/oder Ähnlichem.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
3.6;In meiner Freizeit verbringe ich genügend Zeit mit Freunden oder Verwandten oder in Vereinen, Feuerwehr, Sportclubs und/oder Ähnlichem.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
4.1;Ich bin zufrieden mit meinen aktuellen Möglichkeiten zur Karriereentwicklung (Mein Arbeitgeber unterstützt mich darin mich weiterzuentwickeln oder weiterzubilden und meine familiäre Situation lässt dies zu).;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.1;In meiner Freizeit kann ich gut von meinen beruflichen Pflichten abschalten.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.2;Ich fühle mich oft belastet, weil ich in meiner Freizeit viele Besorgungen, Termine, etc. erledigen muss, dies aber oftmals nicht in der gegebenen Zeit schaffe.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.3;Ich fühle mich oft belastet, weil ich wichtige Arbeiten (in der Firma) oftmals nur mit Mühe rechtzeitig erledigen kann.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.4;Ich habe oft ein schlechtes Gewissen, weil ich aufgrund von privaten Verpflichtungen die Erwartungen meines Arbeitgebers oftmals nicht erfüllen kann.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.5;Ich habe oft ein schlechtes Gewissen, weil ich aufgrund von beruflichen Verpflichtungen meine Erwartungen bezüglich Haushalt und Kinderbetreuung nicht erfüllen kann.  ;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.6;Ich fühle mich oft belastet, weil ich während der Arbeit oder in der Freizeit oftmals verschiedene Dinge gleichzeitig erledigen muss. ;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.7;Ich fühle mich oft belastet, weil ich während der Arbeit oftmals auch privaten Verpflichtungen nachkommen muss.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.8;Ich fühle mich oft belastet, weil ich zu Hause oftmals auch beruflichen Verpflichtungen nachkommen muss.  ;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.9;Ich fühle mich während des Home Office belastet, weil oftmals private Aufgaben dazwischen kommen.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.10;Ich fühle mich oft belastet, weil die zeitliche Beanspruchung von Arbeit und privaten Verpflichtungen insgesamt zu hoch ist.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.11;Ich fühle mich oft belastet, weil die finanzielle Situation in meinem Haushalt angespannt ist.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
5.12;Ich fühle mit oft belastet, weil ich gesundheitlich angeschlagen bin.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
6.1;Ich fühle mich durch meine Arbeit frustriert und habe das Interesse an meiner Arbeit verloren.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
6.2;Ich habe das Gefühl, manche KundenInnen/GeschäftspartnerInnen/KollegInnen unpersönlich zu behandeln und es interessiert mich nicht wirklich, was mit manchen meiner KundenInnen/GeschäftspartnerInnen/KollegInnen geschieht.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
6.3;Ich fühle mich machtlos, meine Arbeitssituation zu verändern.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
